강력범죄, 유사강간, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 0, 7, 0, 4, 3, 25, 8, 3, 14, 52, 7, 6, 39, 10, 2, 1, 7, 24, 9, 1, 14, 5, 0, 0, 5, 0, 13, 1, 26, 0, 5, 21, 49, 17, 15, 17, 144, 39, 16, 89, 29, 7, 0, 22, 63, 24, 10, 29, 9, 2, 1, 6, 4, 64,
강력범죄, 강제추행, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 108, 734, 2, 147, 585, 1138, 200, 228, 710, 4130, 410, 370, 3350, 724, 78, 76, 570, 2577, 491, 304, 1782, 406, 105, 29, 272, 216, 2463, 88, 859, 0, 186, 673, 1204, 202, 208, 794, 4558, 418, 338, 3802, 799, 79, 82, 638, 3011, 613, 292, 2106, 514, 104, 38, 372, 215, 2152,
강력범죄, 기타(강간·강제추행), , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 10, 117, 0, 32, 85, 248, 69, 67, 112, 911, 241, 153, 517, 105, 20, 18, 67, 229, 70, 39, 120, 30, 9, 2, 19, 19, 218, 8, 71, 0, 18, 53, 157, 26, 46, 85, 489, 115, 84, 290, 71, 10, 17, 44, 174, 50, 32, 92, 24, 7, 2, 15, 19, 180,
강력범죄, 방화, 24, 152, 3, 39, 110, 276, 57, 78, 141, 628, 64, 90, 474, 42, 4, 4, 34, 103, 19, 17, 67, 11, , , , 66, 217, 17, 157, 4, 40, 113, 242, 90, 45, 107, 631, 73, 74, 484, 46, 5, 8, 33, 101, 23, 21, 57, 6, 0, 2, 4, 42, 157, 24, 186, 1, 47, 138, 245, 53, 44, 148, 555, 53, 66, 436, 51, 2, 7, 42, 129, 26, 26, 77, 16, 4, 1, 11, 24, 156, 31, 158, 0, 42, 116, 258, 64, 52, 142, 628, 67, 88, 473, 48, 6, 6, 36, 149, 28, 27, 94, 8, 0, 0, 8, 23, 163,
절도범죄, , 1270, 6607, 66, 1539, 5002, 22199, 9487, 5456, 7256, 48522, 12288, 8515, 27719, 4260, 972, 551, 2737, 9843, 3467, 1316, 5060, 1160, , , , 4087, 13442, 1173, 6030, 43, 1419, 4568, 23027, 10957, 5434, 6636, 46845, 14330, 8313, 24202, 4056, 835, 524, 2697, 10212, 3815, 1365, 5032, 1017, 333, 115, 569, 2348, 9726, 1295, 6434, 15, 1476, 4943, 22095, 9338, 5317, 7440, 44621, 11810, 7898, 24913, 4204, 705, 556, 2943, 10723, 3308, 1686, 5729, 1162, 360, 139, 663, 1360, 10764, 1381, 6676, 56, 1570, 5050, 18632, 7624, 3923, 7085, 40668, 9759, 6300, 24609, 4112, 650, 545, 2917, 11146, 3240, 1670, 6236, 1233, 357, 136, 740, 1325, 10472,
폭력범죄, 폭력범죄(소계), 2447, 17832, 54, 2988, 14790, 35975, 5944, 7253, 22778, 142572, 9356, 13597, 119619, 15081, 2163, 1632, 11286, 39157, 8229, 5441, 25487, 4667, , , , 14017, 120294, 2763, 18524, 57, 3335, 15132, 40070, 8669, 8059, 23342, 147419, 14654, 14053, 118712, 16060, 2235, 1661, 12164, 43647, 10202, 5912, 27533, 5021, 1044, 459, 3518, 9710, 117068, 2628, 17854, 9, 3215, 14630, 34692, 4261, 7220, 23211, 129270, 8446, 12335, 108489, 15588, 1690, 1671, 12227, 41683, 8241, 6143, 27299, 4856, 926, 428, 3502, 5411, 117931, 2553, 16726, 20, 3030, 13676, 31565, 3783, 6367, 21415, 121001, 7156, 11427, 102418, 14871, 1566, 1611, 11694, 40376, 7686, 6236, 26454, 4857, 897, 446, 3514, 4920, 121406,
폭력범죄, 상해, 834, 6011, 10, 1009, 4992, 9590, 602, 1825, 7163, 40179, 1350, 3484, 35345, 4612, 552, 458, 3602, 11177, 2091, 1581, 7505, 1428, , , , 3989, 11318, 968, 6046, 6, 1071, 4969, 9459, 593, 1899, 6967, 38093, 1630, 3324, 33139, 4630, 504, 469, 3657, 11880, 2322, 1744, 7814, 1500, 280, 141, 1079, 2576, 9698, 795, 5522, 2, 955, 4565, 8677, 394, 1785, 6498, 33049, 1170, 2892, 28987, 4341, 419, 464, 3458, 11078, 2019, 1680, 7379, 1349, 244, 117, 988, 1294, 9101, 723, 4825, 4, 846, 3975, 7698, 368, 1555, 5775, 29021, 1046, 2701, 25274, 4021, 409, 426, 3186, 10126, 1836, 1621, 6669, 1293, 231, 96, 966, 1198, 7980,
폭력범죄, 폭행, 788, 5949, 12, 991, 4946, 9367, 371, 1872, 7124, 41386, 1107, 3452, 36827, 4148, 403, 461, 3284, 11958, 1706, 1743, 8509, 1538, , , , 4198, 82450, 909, 6243, 10, 1124, 5109, 10683, 1049, 2165, 7469, 43931, 2821, 3514, 37596, 4533, 466, 439, 3628, 13901, 2705, 1847, 9349, 1654, 314, 144, 1196, 3144, 82977, 990, 6242, 2, 1127, 5113, 10577, 562, 2207, 7808, 41945, 1665, 3499, 36781, 4785, 376, 482, 3927, 14046, 2048, 2068, 9930, 1699, 270, 162, 1267, 1848, 84205, 965, 6201, 4, 1136, 5061, 10115, 549, 2046, 7520, 41474, 1504, 3470, 36500, 4822, 389, 475, 3958, 14375, 2128, 2160, 10087, 1768, 287, 165, 1316, 1747, 89699,
폭력범죄, 체포·감금, 7, 37, 0, 1, 36, 64, 2, 16, 46, 278, 6, 33, 239, 32, 4, 4, 24, 92, 15, 14, 63, 26, , , , 39, 394, 2, 32, 0, 2, 30, 75, 3, 29, 43, 330, 12, 40, 278, 45, 4, 3, 38, 122, 18, 17, 87, 20, 2, 3, 15, 9, 478, 3, 40, 0, 5, 35, 71, 0, 15, 56, 316, 9, 26, 281, 39, 3, 2, 34, 116, 12, 13, 91, 19, 2, 1, 16, 8, 474, 5, 30, 0, 6, 24, 74, 1, 17, 56, 307, 3, 28, 276, 35, 2, 5, 28, 99, 14, 14, 71, 19, 0, 2, 17, 15, 534,
폭력범죄, 협박, 21, 172, 0, 25, 147, 257, 17, 49, 191, 980, 28, 72, 880, 127, 6, 14, 107, 348, 23, 53, 272, 54, , , , 116, 1780, 29, 222, 1, 45, 176, 360, 52, 64, 244, 1346, 82, 125, 1139, 134, 6, 16, 112, 476, 44, 70, 362, 68, 8, 6, 54, 92, 2005, 16, 202, 0, 38, 164, 361, 22, 81, 258, 1267, 45, 107, 1115, 151, 5, 15, 131, 475, 35, 84, 356, 87, 6, 5, 76, 41, 2082, 20, 216, 0, 35, 181, 337, 27, 60, 250, 1359, 50, 139, 1170, 159, 3, 18, 138, 510, 44, 74, 392, 96, 12, 9, 75, 57, 2406,
