범죄, 범죄, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2011, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2012, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2013, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014, 2014,
범죄, 범죄, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계, 계,
범죄, 범죄, 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 남자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계), 여자(소계),
범죄, 범죄, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상, 남자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 미상, 여자(소계), 정상, 정신이상, 정신박약, 기타정신장애, 주취, 월경시이상, 미상
강력범죄, 방화, 1325, 678, 29, 3, 50, 565, , 194, 93, 18, 1, 16, 66, 0, , 1230, 531, 19, 3, 37, 544, 96, 169, 70, 11, 0, 16, 61, 0, 11, 1212, 458, 33, 12, 53, 575, 81, 174, 71, 7, 3, 14, 67, 0, 12, 1281, 487, 32, 7, 61, 607, 87, 185, 70, 15, 1, 9, 74, 0, 16,
절도범죄, , 89364, 81476, 207, 162, 600, 6919, , 22026, 20508, 105, 54, 307, 853, 199, , 83919, 70713, 195, 97, 537, 6592, 5785, 20515, 17384, 104, 45, 272, 929, 144, 1637, 81898, 68293, 194, 167, 680, 6903, 5661, 20760, 17560, 95, 39, 365, 936, 135, 1630, 75753, 62125, 212, 143, 706, 6925, 5642, 19892, 16514, 145, 46, 390, 912, 142, 1743,
폭력범죄, 폭력범죄(소계), 332160, 207871, 513, 88, 502, 123186, , 59882, 46819, 180, 15, 208, 12650, 10, , 336591, 122148, 518, 85, 609, 124692, 88539, 63691, 31698, 187, 29, 222, 13951, 8, 17596, 312706, 105980, 502, 82, 749, 118590, 86803, 57207, 26042, 226, 24, 231, 13270, 1, 17413, 303439, 101337, 509, 85, 827, 109720, 90961, 54836, 24014, 220, 37, 304, 11905, 5, 18351,
폭력범죄, 상해, 75921, 41114, 126, 25, 141, 34515, , 13217, 9786, 51, 5, 62, 3310, 3, , 71473, 33858, 129, 24, 152, 32567, 4743, 13377, 8407, 45, 13, 67, 3461, 2, 1382, 63633, 29550, 95, 12, 179, 29448, 4349, 11573, 7180, 49, 7, 62, 3049, 0, 1226, 56294, 26495, 113, 21, 193, 25505, 3967, 10591, 6557, 42, 7, 65, 2655, 2, 1263,
폭력범죄, 폭행, 138459, 100282, 137, 21, 128, 37891, , 23323, 19484, 57, 6, 58, 3714, 4, , 142956, 35153, 138, 31, 154, 39895, 67585, 25019, 8405, 53, 7, 60, 4247, 4, 12243, 141199, 34290, 126, 26, 203, 39827, 66727, 25138, 8011, 84, 6, 82, 4397, 0, 12558, 145319, 34621, 137, 27, 256, 38774, 71504, 25847, 7918, 89, 18, 112, 4277, 1, 13432,
폭력범죄, 체포·감금, 766, 690, 1, 0, 1, 74, , 203, 200, 0, 0, 0, 3, 0, , 889, 479, 1, 0, 0, 85, 324, 224, 97, 1, 0, 0, 3, 0, 123, 897, 440, 1, 0, 2, 129, 325, 189, 69, 1, 0, 0, 2, 0, 117, 887, 425, 1, 0, 1, 108, 352, 231, 71, 0, 0, 0, 5, 0, 155,
폭력범죄, 협박, 3327, 2751, 4, 0, 9, 563, , 528, 504, 0, 1, 1, 22, 0, , 4031, 1671, 6, 0, 15, 767, 1572, 701, 309, 3, 0, 1, 27, 0, 361, 3995, 1592, 11, 1, 10, 752, 1629, 687, 318, 3, 1, 0, 25, 0, 340, 4456, 1668, 9, 2, 19, 837, 1921, 704, 308, 2, 1, 1, 28, 0, 364,
폭력범죄, 약취·유인, 277, 244, 0, 1, 8, 24, , 63, 61, 2, 0, 0, 0, 0, , 209, 129, 0, 0, 1, 26, 53, 61, 34, 0, 0, 1, 5, 0, 21, 179, 106, 1, 1, 3, 21, 47, 81, 35, 1, 0, 1, 0, 0, 44, 184, 114, 0, 1, 2, 22, 45, 68, 39, 1, 0, 0, 0, 0, 28,
폭력범죄, 폭력행위, 84883, 48550, 146, 21, 113, 36053, , 18540, 13875, 31, 2, 32, 4598, 2, , 86341, 38440, 140, 7, 156, 36711, 10887, 19915, 11958, 44, 4, 37, 5153, 2, 2717, 74370, 29667, 128, 21, 182, 34166, 10206, 15488, 8273, 31, 4, 43, 4742, 1, 2394, 67058, 27154, 129, 18, 186, 30275, 9296, 13055, 6902, 30, 3, 56, 3836, 1, 2227,
폭력범죄, 공갈, 3166, 2910, 5, 3, 7, 241, , 620, 612, 1, 0, 1, 6, 0, , 4622, 3550, 6, 2, 9, 476, 579, 833, 670, 2, 0, 4, 11, 0, 146, 2722, 1874, 6, 2, 8, 247, 585, 467, 323, 0, 0, 3, 4, 0, 137, 3192, 1996, 3, 1, 7, 501, 684, 482, 306, 0, 0, 1, 9, 0, 166,
